yahoo_player_id,yahoo_name,team_abbr,mlb_person_id,mlb_name,notes
11268,William Contreras,MIL,,,
11125,Brandon Lowe,PIT,,,
10236,Gleyber Torres,DET,,,
10922,Mark Vientos,NYM,,,
9116,Francisco Lindor,NYM,,,
12393,Elly De La Cruz,CIN,,,
9339,George Springer,TOR,,,
62973,Wyatt Langford,TEX,,,
12480,Jackson Chourio,MIL,,,
12136,Brenton Doyle,COL,,,
1000001,Shohei Ohtani (Batter),LAD,,,
10893,Jo Adell,LAA,,,
12122,Jordan Westburg,BAL,,,
12141,Hunter Brown,HOU,,,
9701,Jacob deGrom,TEX,,,
60042,Parker Messick,CLE,,,
11628,Devin Williams,NYM,,,
10901,Dennis Santana,PIT,,,
64978,Jonah Tong,NYM,,,
60121,Daniel Palencia,CHC,,,
10730,Brandon Woodruff,MIL,,,
11014,Freddy Peralta,MIL,,,
9334,Kevin Gausman,TOR,,,
11057,Pablo Lopez,MIN,,,
12346,Felix Bautista,BAL,,,
60214,Zach Neto,LAA,,,
12721,Warming Bernabel,WSH,,,
11625,Emmanuel Clase,CLE,,,
