yahoo_player_id,yahoo_name,team_abbr,mlb_person_id,mlb_name,mlb_pos,notes
4306,Omar Vizquel,N/A,123744,Omar Vizquel,SS,sfbb_playeridmap
4680,Ivan Rodriguez,N/A,121358,Ivan Rodriguez,C,sfbb_playeridmap
4736,Arthur Rhodes,N/A,121125,Arthur Rhodes,P,sfbb_playeridmap
4762,Jim Thome,N/A,123272,Jim Thome,1B,sfbb_playeridmap
4815,Miguel Batista,N/A,110683,Miguel Batista,P,sfbb_playeridmap
4975,Trevor Hoffman,N/A,116034,Trevor Hoffman,P,sfbb_playeridmap
5127,Darren Oliver,N/A,119984,Darren Oliver,P,sfbb_playeridmap
5132,Manny Ramirez,N/A,120903,Manny Ramirez,OF,sfbb_playeridmap
5151,Jim Edmonds,N/A,113744,Jim Edmonds,OF,sfbb_playeridmap
5164,Chipper Jones,N/A,116706,Chipper Jones,3B,sfbb_playeridmap
5275,Alex Rodriguez,N/A,121347,Alex Rodriguez,DH,sfbb_playeridmap
5331,Andy Pettitte,N/A,120485,Andy Pettitte,P,sfbb_playeridmap
5336,LaTroy Hawkins,N/A,115629,LaTroy Hawkins,P,sfbb_playeridmap
5386,Jason Giambi,N/A,114739,Jason Giambi,DH,sfbb_playeridmap
5400,Mariano Rivera,N/A,121250,Mariano Rivera,P,sfbb_playeridmap
5406,Derek Jeter,N/A,116539,Derek Jeter,SS,sfbb_playeridmap
5449,Jason Isringhausen,N/A,116414,Jason Isringhausen,P,sfbb_playeridmap
5484,Johnny Damon,N/A,113028,Johnny Damon,OF,sfbb_playeridmap
5492,Mike Cameron,N/A,111904,Mike Cameron,OF,sfbb_playeridmap
5502,Jorge Posada,N/A,120691,Jorge Posada,C,sfbb_playeridmap
5536,Billy Wagner,N/A,123790,Billy Wagner,P,sfbb_playeridmap
5562,Jason Kendall,N/A,116974,Jason Kendall,C,sfbb_playeridmap
5650,Jamey Wright,N/A,124604,Jamey Wright,P,sfbb_playeridmap
5665,Raul Ibanez,N/A,116380,Raul Ibanez,OF,sfbb_playeridmap
5668,Scott Rolen,N/A,121409,Scott Rolen,3B,sfbb_playeridmap
5681,Andruw Jones,N/A,116662,Andruw Jones,OF,sfbb_playeridmap
5698,Bobby Abreu,N/A,110029,Bobby Abreu,OF,sfbb_playeridmap
5734,Livan Hernandez,N/A,115817,Livan Hernandez,P,sfbb_playeridmap
5737,Vladimir Guerrero,N/A,115223,Vladimir Guerrero,OF,sfbb_playeridmap
5753,Jose Guillen,N/A,115229,Jose Guillen,OF,sfbb_playeridmap
5763,Bartolo Colon,N/A,112526,Bartolo Colon,P,sfbb_playeridmap
5771,Chris Carpenter,N/A,112020,Chris Carpenter,P,sfbb_playeridmap
5775,Derrek Lee,N/A,117601,Derrek Lee,1B,sfbb_playeridmap
5801,Derek Lowe,N/A,117955,Derek Lowe,P,sfbb_playeridmap
5846,Mark Kotsay,N/A,117276,Mark Kotsay,OF,sfbb_playeridmap
5848,Kevin Millwood,N/A,119154,Kevin Millwood,P,sfbb_playeridmap
5862,Henry Blanco,N/A,111072,Henry Blanco,C,sfbb_playeridmap
5870,Todd Helton,N/A,115732,Todd Helton,1B,sfbb_playeridmap
5884,Torii Hunter,N/A,116338,Torii Hunter,OF,sfbb_playeridmap
5888,Miguel Tejada,N/A,123173,Miguel Tejada,SS,sfbb_playeridmap
5889,Magglio Ordonez,N/A,120044,Magglio Ordonez,OF,sfbb_playeridmap
5900,Orlando Cabrera,N/A,111851,Orlando Cabrera,SS,sfbb_playeridmap
5908,Paul Konerko,N/A,117244,Paul Konerko,1B,sfbb_playeridmap
5909,David Ortiz,BOS,120074,David Ortiz,DH,sfbb_playeridmap
5945,Carl Pavano,N/A,134321,Carl Pavano,P,sfbb_playeridmap
