yahoo_player_id,yahoo_name,team_abbr,display_position,primary_position,eligible_positions
10607,Andy Ibáñez,ATH,"1B,2B,3B",1B,"1B,2B,3B,IF,Util"
11450,Ben Bowden,ATH,RP,RP,"RP,P,NA"
63477,Brady Basso,ATH,"SP,RP",SP,"SP,RP,P,NA"
10917,Brent Rooker,ATH,"LF,RF",LF,"LF,RF,OF,Util"
60312,Brett Harris,ATH,3B,3B,"3B,IF,Util,NA"
11691,Brooks Kriske,ATH,RP,RP,"RP,P,NA"
12707,Cade Marlowe,ATH,LF,LF,"LF,OF,Util,NA"
12488,Carlos Cortes,ATH,"LF,RF",LF,"LF,RF,OF,Util"
60311,Colby Thomas,ATH,"LF,CF,RF",LF,"LF,CF,RF,OF,Util"
60315,Cooper Bowman,ATH,"2B,CF",2B,"2B,IF,CF,OF,Util,NA"
60638,Darell Hernaiz,ATH,"2B,3B,SS",2B,"2B,3B,SS,IF,Util"
12504,Denzel Clarke,ATH,CF,CF,"CF,OF,Util"
64804,Eduarniel Núñez,ATH,RP,RP,"RP,P,NA"
60180,Elvis Alvarado,ATH,RP,RP,"RP,P"
11587,Geoff Hartlieb,ATH,RP,RP,"RP,P,NA"
12569,Gunnar Hoglund,ATH,SP,SP,"SP,P"
64816,Henry Baez,ATH,SP,SP,"SP,P,NA"
12718,Hogan Harris,ATH,"SP,RP",SP,"SP,RP,P"
12158,J.T. Ginn,ATH,"SP,RP",SP,"SP,RP,P"
62461,Jack Perkins,ATH,"SP,RP",SP,"SP,RP,P"
62642,Jacob Lopez,ATH,SP,SP,"SP,P"
62976,Jacob Wilson,ATH,SS,SS,"SS,IF,Util"
12362,Joey Estes,ATH,SP,SP,"SP,P,NA"
63720,Justin Sterner,ATH,RP,RP,"RP,P"
12719,Lawrence Butler,ATH,"CF,RF",CF,"CF,RF,OF,Util"
11354,Luis Medina,ATH,SP,SP,"SP,P"
63613,Luis Morales,ATH,SP,SP,"SP,P"
60207,Mason Barnett,ATH,SP,SP,"SP,P,NA"
12712,Matt Krook,ATH,RP,RP,"RP,P,NA"
12501,Max Muncy,ATH,"2B,3B,SS",2B,"2B,3B,SS,IF,Util"
12636,Michael Kelly,ATH,RP,RP,"RP,P"
12649,Michael Stefanic,ATH,2B,2B,"2B,IF,Util,NA"
61280,Nick Hernandez,ATH,RP,RP,"RP,P,NA"
64313,Nick Kurtz,ATH,1B,1B,"1B,IF,Util"
11728,Shea Langeliers,ATH,C,C,"C,Util"
61755,Tyler Ferguson,ATH,RP,RP,"RP,P"
12005,Tyler Soderstrom,ATH,"1B,LF",1B,"1B,IF,LF,OF,Util"
12503,Zack Gelof,ATH,2B,2B,"2B,IF,Util"
12366,AJ Smith-Shawver,ATL,SP,SP,"SP,P"
11758,Aaron Schunk,ATL,"2B,3B,SS",2B,"2B,3B,SS,IF,Util,NA"
63976,Anderson Pilar,ATL,RP,RP,"RP,P,NA"
60035,Anthony Molina,ATL,RP,RP,"RP,P,NA"
11469,Austin Cox,ATL,RP,RP,"RP,P,NA"
63774,Austin Pope,ATL,RP,RP,"RP,P,NA"
12735,Brett Wisely,ATL,"2B,SS",2B,"2B,SS,IF,Util"
11570,Brewer Hicklen,ATL,RF,RF,"RF,OF,Util,NA"
12120,Bryce Elder,ATL,SP,SP,"SP,P"
12009,Chadwick Tromp,ATL,C,C,"C,Util,NA"
61672,DaShawn Keirsey Jr.,ATL,"LF,CF,RF",LF,"LF,CF,RF,OF,Util,NA"
12609,Danny Young,ATL,RP,RP,"RP,P,IL"
63278,Daysbel Hernández,ATL,RP,RP,"RP,P"
62487,Didier Fuentes,ATL,SP,SP,"SP,P"
60077,Drake Baldwin,ATL,C,C,"C,Util"
12367,Dylan Dodd,ATL,"SP,RP",SP,"SP,RP,P"
12275,Dylan Lee,ATL,RP,RP,"RP,P"
11402,Eli White,ATL,"LF,CF,RF",LF,"LF,CF,RF,OF,Util"
10549,Grant Holmes,ATL,"SP,RP",SP,"SP,RP,P"
63800,Hayden Harris,ATL,RP,RP,"RP,P,NA"
61942,Hunter Stratton,ATL,RP,RP,"RP,P,NA"
62958,Hurston Waldrep,ATL,SP,SP,"SP,P"
62102,Jack Dashwood,ATL,RP,RP,"RP,P"
62189,Jair Camargo,ATL,C,C,"C,Util,IL"
64912,Jhancarlos Lara,ATL,SP,SP,"SP,P,NA"
10426,Joey Wentz,ATL,"SP,RP",SP,"SP,RP,P"
10476,José Azócar,ATL,"LF,CF,RF",LF,"LF,CF,RF,OF,Util,NA"
11893,Kyle Nelson,ATL,RP,RP,"RP,P"
12207,Luke Williams,ATL,"2B,SS",2B,"2B,SS,IF,Util,NA"
12646,Matthew Batten,ATL,1B,1B,"1B,IF,Util,NA"
62057,Nacho Alvarez Jr.,ATL,"2B,3B",2B,"2B,3B,IF,Util,NA"
63721,Nathan Wiles,ATL,RP,RP,"RP,P,NA"
12354,Robert Suarez,ATL,RP,RP,"RP,P"
62062,Rolddy Muñoz,ATL,RP,RP,"RP,P,NA"
12363,Spencer Schwellenbach,ATL,SP,SP,"SP,P"
11593,Tayler Scott,ATL,RP,RP,"RP,P,NA"
61859,Tristin English,ATL,"1B,3B,RF",1B,"1B,3B,IF,RF,OF,Util,NA"
12202,Zach Thompson,ATL,RP,RP,"RP,P,NA"
12359,Adrian Del Castillo,AZ,C,C,"C,Util"
11267,Alek Thomas,AZ,CF,CF,"CF,OF,Util"
60204,Andrew Hoffmann,AZ,RP,RP,"RP,P"
61757,Andrew Saalfrank,AZ,RP,RP,"RP,P"
11727,Blake Walston,AZ,RP,RP,"RP,P"
60056,Brandon Pfaadt,AZ,SP,SP,"SP,P"
64030,Brandyn Garcia,AZ,"SP,RP",SP,"SP,RP,P"
11968,Bryce Jarvis,AZ,RP,RP,"RP,P,NA"
60562,Christian Montes De Oca,AZ,RP,RP,"RP,P,NA"
11722,Corbin Carroll,AZ,"CF,RF",CF,"CF,RF,OF,Util"
60158,Cristian Mena,AZ,SP,SP,"SP,P"
11724,Drey Jameson,AZ,RP,RP,"RP,P,NA"
11417,Geraldo Perdomo,AZ,SS,SS,"SS,IF,Util"
12506,Grant Holman,AZ,RP,RP,"RP,P,NA"
11825,Isaiah Campbell,AZ,RP,RP,"RP,P,NA"
11777,Jacob Amaya,AZ,SS,SS,"SS,IF,Util,NA"
60067,Joe Elbis,AZ,SP,SP,"SP,P,NA"
12355,Jordan Lawlar,AZ,"3B,SS",3B,"3B,SS,IF,Util"
12749,Jorge Barrosa,AZ,"LF,CF",LF,"LF,CF,OF,Util"
63987,Juan Burgos,AZ,RP,RP,"RP,P,NA"
62467,Juan Morillo,AZ,RP,RP,"RP,P"
12750,Justin Martinez,AZ,RP,RP,"RP,P"
60896,Kade Strowd,AZ,RP,RP,"RP,P"
11626,Kevin Ginkel,AZ,RP,RP,"RP,P"
11390,Luken Baker,AZ,1B,1B,"1B,IF,Util,NA"
10842,Pavin Smith,AZ,"1B,LF,RF",1B,"1B,IF,LF,RF,OF,Util"
63171,Philip Abner,AZ,RP,RP,"RP,P"
11889,Ryan Thompson,AZ,RP,RP,"RP,P"
12356,Ryne Nelson,AZ,"SP,RP",SP,"SP,RP,P"
11902,Shawn Dubin,AZ,RP,RP,"RP,P,NA"
64065,Taylor Rashi,AZ,RP,RP,"RP,P,NA"
10859,Thomas Hatch,AZ,"SP,RP",SP,"SP,RP,P,NA"
60064,Tim Tawa,AZ,"1B,2B,LF,CF",1B,"1B,2B,IF,LF,CF,OF,Util"
11969,Tommy Henry,AZ,SP,SP,"SP,P,NA"
60581,Tyler Locklear,AZ,1B,1B,"1B,IF,Util"
60566,Yilber Díaz,AZ,SP,SP,"SP,P,NA"
11415,Blaze Alexander,BAL,"2B,3B,SS",2B,"2B,3B,SS,IF,Util"
64813,Brandon Young,BAL,SP,SP,"SP,P,NA"
12417,Bryan Ramos,BAL,3B,3B,"3B,IF,Util"
60658,Cade Povich,BAL,SP,SP,"SP,P,NA"
64815,Carson Ragsdale,BAL,SP,SP,"SP,P,NA"
12438,Chayce McDermott,BAL,SP,SP,"SP,P,NA"
12372,Coby Mayo,BAL,"1B,3B",1B,"1B,3B,IF,Util"
12196,Cody Poteet,BAL,SP,SP,"SP,P,NA"
12757,Colin Selby,BAL,RP,RP,"RP,P"
12369,Colton Cowser,BAL,"LF,CF,RF",LF,"LF,CF,RF,OF,Util"
11428,Dean Kremer,BAL,SP,SP,"SP,P"
10783,Dietrich Enns,BAL,"SP,RP",SP,"SP,RP,P"
60091,Dylan Beavers,BAL,"LF,RF",LF,"LF,RF,OF,Util"
12291,Elvin Rodríguez,BAL,"SP,RP",SP,"SP,RP,P,NA"
11473,Emmanuel Rivera,BAL,"1B,3B",1B,"1B,3B,IF,Util,NA"
63647,Grant Wolfram,BAL,RP,RP,"RP,P"
10955,Hans Crouse,BAL,RP,RP,"RP,P,NA"
12121,Heston Kjerstad,BAL,"LF,RF",LF,"LF,RF,OF,Util,IL"
60090,Jackson Holliday,BAL,"2B,SS",2B,"2B,SS,IF,Util"
11320,Jackson Kowar,BAL,RP,RP,"RP,P,IL"
11325,Jeremiah Jackson,BAL,"3B,SS,RF",3B,"3B,SS,IF,RF,OF,Util"
12313,Jhonkensy Noel,BAL,"1B,RF",1B,"1B,IF,RF,OF,Util,NA"
12122,Jordan Westburg,BAL,"2B,3B",2B,"2B,3B,IF,Util"
62403,Jose Espada,BAL,RP,RP,"RP,P"
12492,Josh Walker,BAL,RP,RP,"RP,P,NA"
11291,José Barrero,BAL,"SS,CF",SS,"SS,IF,CF,OF,Util,NA"
11032,José Castillo,BAL,RP,RP,"RP,P,NA"
63530,Juan Nuñez,BAL,SP,SP,"SP,P,NA"
10431,Keegan Akin,BAL,"SP,RP",SP,"SP,RP,P"
12345,Kyle Bradish,BAL,SP,SP,"SP,P"
11328,Livan Soto,BAL,IF,IF,"IF,Util,NA"
63806,Luis González,BAL,RP,RP,"RP,P,NA"
61911,Luis Vázquez,BAL,"3B,SS",3B,"3B,SS,IF,Util,NA"
60901,Maverick Handley,BAL,C,C,"C,Util,NA"
11453,Rico Garcia,BAL,RP,RP,"RP,P"
12765,Ryan Noda,BAL,1B,1B,"1B,IF,Util,NA"
11849,Sam Huff,BAL,C,C,"C,Util,NA"
60092,Samuel Basallo,BAL,"C,1B",C,"C,1B,IF,Util"
11303,Terrin Vavra,BAL,2B,2B,"2B,IF,Util,NA"
60595,Weston Wilson,BAL,"2B,LF",2B,"2B,IF,LF,OF,Util,NA"
61943,Will Robertson,BAL,"LF,RF",LF,"LF,RF,OF,Util,NA"
64789,Yaramil Hiraldo,BAL,RP,RP,"RP,P"
12614,Yennier Cano,BAL,RP,RP,"RP,P"
61600,Andruw Monasterio,BOS,"1B,2B,3B,SS",1B,"1B,2B,3B,SS,IF,Util"
11356,Anthony Seigler,BOS,"C,2B,3B",C,"C,2B,3B,IF,Util"
12330,Brayan Bello,BOS,SP,SP,"SP,P"
61788,Caleb Durbin,BOS,"2B,3B,SS",2B,"2B,3B,SS,IF,Util"
60536,Carlos Narváez,BOS,C,C,"C,Util"
12730,Ceddanne Rafaela,BOS,"2B,SS,CF",2B,"2B,SS,IF,CF,OF,Util"
63143,Connelly Early,BOS,SP,SP,"SP,P"
11483,Connor Wong,BOS,"C,1B",C,"C,1B,IF,Util"
61836,Devin Sweet,BOS,RP,RP,"RP,P,NA"
12046,Garrett Crochet,BOS,SP,SP,"SP,P"
11358,Garrett Whitlock,BOS,"SP,RP",SP,"SP,RP,P"
12685,Greg Weissert,BOS,RP,RP,"RP,P"
11735,Jarren Duran,BOS,"LF,CF",LF,"LF,CF,OF,Util"
12637,Jason Delay,BOS,C,C,"C,Util,NA"
11838,Johan Oviedo,BOS,SP,SP,"SP,P"
12269,Jovani Morán,BOS,RP,RP,"RP,P"
63500,Justin Slaten,BOS,RP,RP,"RP,P"
63128,Kristian Campbell,BOS,"2B,CF",2B,"2B,IF,CF,OF,Util"
11431,Kutter Crawford,BOS,SP,SP,"SP,P,IL"
12375,Marcelo Mayer,BOS,"2B,3B,SS",2B,"2B,3B,SS,IF,Util,IL"
12763,Masataka Yoshida,BOS,LF,LF,"LF,OF,Util"
10497,Matt Thaiss,BOS,C,C,"C,Util,NA"
61785,Mickey Gasper,BOS,"C,IF",C,"C,IF,Util"
12656,Nate Eaton,BOS,"3B,CF,RF",3B,"3B,IF,CF,RF,OF,Util"
60891,Nick Sogard,BOS,"1B,2B,3B,SS",1B,"1B,2B,3B,SS,IF,Util"
64394,Payton Tolle,BOS,SP,SP,"SP,P"
60108,Roman Anthony,BOS,"LF,CF,RF",LF,"LF,CF,RF,OF,Util"
12262,Romy Gonzalez,BOS,"1B,2B,3B,SS",1B,"1B,2B,3B,SS,IF,Util,NA"
12273,Seth Martinez,BOS,RP,RP,"RP,P,NA"
11279,Triston Casas,BOS,1B,1B,"1B,IF,Util,IL"
63486,Tsung-Che Cheng,BOS,"2B,SS",2B,"2B,SS,IF,Util"
12607,Vinny Capra,BOS,"3B,SS",3B,"3B,SS,IF,Util,NA"
12731,Wilyer Abreu,BOS,"LF,CF,RF",LF,"LF,CF,RF,OF,Util"
12686,Zack Kelly,BOS,"SP,RP",SP,"SP,RP,P"
12748,Ben Brown,CHC,"SP,RP",SP,"SP,RP,P"
61691,Ben Cowles,CHC,"2B,3B,SS",2B,"2B,3B,SS,IF,Util,NA"
60118,Cade Horton,CHC,SP,SP,"SP,P"
11912,Chas McCormick,CHC,"LF,CF,RF",LF,"LF,CF,RF,OF,Util,NA"
12334,Collin Snider,CHC,RP,RP,"RP,P,NA"
11316,Corbin Martin,CHC,RP,RP,"RP,P,NA"
60121,Daniel Palencia,CHC,RP,RP,"RP,P"
12327,Ethan Roberts,CHC,RP,RP,"RP,P"
12702,Gavin Hollowell,CHC,RP,RP,"RP,P"
62326,Jack Neely,CHC,RP,RP,"RP,P,NA"
12682,Javier Assad,CHC,SP,SP,"SP,P"
12384,Jordan Wicks,CHC,"SP,RP",SP,"SP,RP,P"
60883,Justin Dean,CHC,CF,CF,"CF,OF,Util,NA"
11802,Kevin Alcantara,CHC,RF,RF,"RF,OF,Util"
60126,Luke Little,CHC,RP,RP,"RP,P,NA"
62984,Matt Shaw,CHC,"2B,3B,SS",2B,"2B,3B,SS,IF,Util"
11778,Michael Busch,CHC,1B,1B,"1B,IF,Util"
11075,Miguel Amaya,CHC,C,C,"C,Util"
60120,Moisés Ballesteros,CHC,C,C,"C,Util"
11824,Owen Miller,CHC,1B,1B,"1B,IF,Util,NA"
12157,Pete Crow-Armstrong,CHC,CF,CF,"CF,OF,Util"
60122,Porter Hodge,CHC,RP,RP,"RP,P"
11301,Ryan Rolison,CHC,RP,RP,"RP,P,NA"
63640,Shota Imanaga,CHC,SP,SP,"SP,P"
12395,Andrew Abbott,CIN,SP,SP,"SP,P"
11990,Anthony Misiewicz,CIN,RP,RP,"RP,P,NA"
62315,Blake Dunn,CIN,"LF,RF",LF,"LF,RF,OF,Util,NA"
11829,Brandon Williamson,CIN,SP,SP,"SP,P,IL"
63341,Carson Spiers,CIN,"SP,RP",SP,"SP,RP,P,NA"
64316,Chase Burns,CIN,"SP,RP",SP,"SP,RP,P"
12484,Chase Petty,CIN,SP,SP,"SP,P,NA"
60131,Christian Encarnacion-Strand,CIN,"1B,3B",1B,"1B,3B,IF,Util,NA"
12173,Connor Phillips,CIN,"SP,RP",SP,"SP,RP,P"
62217,Dane Myers,CIN,"LF,CF,RF",LF,"LF,CF,RF,OF,Util"
